Stav,Změna,Pavilon,Místnost,"IČ",Inv. číslo,Název,Typ,Podtyp,SN,"VYRAD",Datum pořízení,
,,1,07,Š,4851,MONITOR,ACER,K222HQL,,,,
,,1,07,Š,4857,PC,ACER, VERITON ES2710G,,,,
,,1,07,S,4338,TISKARNA,XEROX,Phaser 3020,,,,
--,,1,07,S,4535,TISKARNA,SHARP,AR-6020D,,,,
,,1,20,Š,4773,MONITOR,AOC,,,,,
,OV,1,20,S,5326,MYS,TRUST,VERTO POLOH,,,,
,,1,20,Š,4772,pc,HP ProDesk 400 G5,,,,,
,,1,20,S,4137,tiskarna,Sharp,MX-2314,,,,
,,1,20,S,4377,tiskarna,Samsung,M2625D,,,,
,,1,25,S,3544,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3545,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3546,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3547,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3548,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3549,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3550,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3551,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3552,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3552,PC,LYNX INTEL CEL 4,,,,,
N,Z,1,25,S,3554,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3555,PC,LYNX INTEL CEL 4,,,,,
N,Z,1,25,S,3556,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3557,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3558,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3559,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3560,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3561,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3562,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3563,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3564,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3565,PC,LYNX INTEL CEL 4,,,,,
N,Z,1,25,S,3566,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3567,PC,LYNX INTEL CEL 4,,,,,
N,Z,1,25,S,3568,PC,LYNX INTEL CEL 4,,,,,
N,Z,1,25,S,3569,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3570,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3571,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3572,PC,LYNX INTEL CEL 4,,,,,
,,1,25,S,3573,PC,LYNX INTEL CEL 4,,,,,
,,1,22,S,4733,MONITOR,acer,K222HQL,,,,
,,1,23,UP,4626,3D,Prusa i3 tisk,,,,,
,,1,23,S,5372,COOLING,NOTEBO COOLING,,,,,
,,1,23,S,5322,GRAF TABLET,WACOM,CREATIVE PEN,,,,
,1,1,25,S,3574,MONITOR,ASUS,,,,,
,,1,23,S,5383,MIKROFON,RADIUM 100,,,,,
,3,1,25,S,3577,MONITOR,ASUS,,,,,
,4,1,25,S,3578,MONITOR,ASUS,,,,,
,5,1,25,S,3579,MONITOR,ASUS,,,,,
,,1,23,Š,3902,MONITOR,Fujitsu,,,,,
,8,1,25,S,3584,MONITOR,ASUS,,,,,
,9,1,25,S,3585,MONITOR,ASUS,,,,,
,RWS,1,23,S,4383,MONITOR,acer,K222HQL,,,,
,D,1,23,S,4415,MONITOR,acer,KA210HQ,,,,
,NM,1,23,S,4579,MONITOR,AOC,E2270SWDN,,,,
,MS,1,23,S,4625/2,MONITOR,philips,223V 5LSB/00,,,,
,14,1,25,S,3590,MONITOR,ASUS,,,,,
,,1,23,UP,4766,MONITOR,HP ZR22W,,,,,
,RWS,1,23,Š,4848,MONITOR,Acer,K222HQL,,,,
,,1,23,S,5270,MYS,LOGITECH,TRACKBALL,,,,
,18,1,25,S,3597,MONITOR,ASUS,,,,,
,,1,23,S,5271,MYS,LOGITECH,TRACKBALL,,,,
,,1,23,S,5272,MYS,LOGITECH,TRACKBALL,,,,
,DH,1,23,S,5325,MYS,TRUST,VERTO POLOH,,,,
,OV,1,23,S,5328,MYS,TRUST,VERTO POLOH,,,,
,1/23,1,23,S,4076,NTB,HP ProBo,i5,,,,
,RWS,1,23,S,5356,PC,HP PRODESK 405 G6,,,,,
,23,1,25,UP,3255/2,MONITOR,,,,,,
,24,1,25,UP,3361/2,MONITOR,,,,,,
,25,1,25,UP,3362/2,MONITOR,,,,,,
,26,1,25,UP,3367/2,MONITOR,,,,,,
,27,1,25,UP,3368/2,MONITOR,,,,,,
,28,1,25,UP,3371/2,MONITOR,,,,,,
,29,1,25,UP,3377/2,MONITOR,,,,,,
,2,1,25,S,3576,MONITOR,ASUS,,,,,
,7,1,25,S,3583,MONITOR,ASUS,,,,,
,10,1,25,S,3586,MONITOR,ASUS,,,,,
,11,1,25,S,3587,MONITOR,ASUS,,,,,
,12,1,25,S,3588,MONITOR,ASUS,,,,,
,13,1,25,S,3589,MONITOR,ASUS,,,,,
,15,1,25,S,3592,MONITOR,ASUS,,,,,
,16,1,25,S,3593,MONITOR,ASUS,,,,,
